Index;Date;Model;Model_Short;Framework;Network;Resolution;Dataset;Custom_Parameters;Hardware;Hardware_Optimization;Batch_Size;Throughput;Mean_Latency;Latencies
20210701124610_tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;2021-07-01 12:46:10;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;[300, 300];tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;300x300;pets;['1', 'sync', 'UNSPECIFIED', 'D100'];IntelNUC_CPU;OVFP16;1;164.9;6.06;
20210701124650_tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;2021-07-01 12:46:50;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;[300, 300];tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;300x300;pets;['1', 'sync', 'UNSPECIFIED', 'D100'];IntelNUC_GPU;OVFP16;1;111.96;8.93;
20210701124807_tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;2021-07-01 12:48:07;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;[300, 300];tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;300x300;pets;['1', 'sync', 'FP16', 'D100'];IntelNUC_MYRIAD;OVFP16;1;23.07;43.35;
20210701124820_tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;2021-07-01 12:48:20;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;[300, 300];tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;300x300;pets;['1', 'sync', 'UNSPECIFIED', 'D100'];IntelNUC_CPU;OVFP32;1;162.22;6.16;
20210701124904_tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;2021-07-01 12:49:04;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;[300, 300];tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;300x300;pets;['1', 'sync', 'UNSPECIFIED', 'D100'];IntelNUC_GPU;OVFP32;1;82.51;12.12;
20210701125021_tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;2021-07-01 12:50:21;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;[300, 300];tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;300x300;pets;['1', 'sync', 'FP16', 'D100'];IntelNUC_MYRIAD;OVFP32;1;22.6;44.24;
20210701125033_tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;2021-07-01 12:50:33;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;[320, 256];tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;320x256;pedestrian;['1', 'sync', 'UNSPECIFIED'];IntelNUC_CPU;OVFP16;1;185.59;5.39;
20210701125112_tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;2021-07-01 12:51:12;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;[320, 256];tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;320x256;pedestrian;['1', 'sync', 'UNSPECIFIED'];IntelNUC_GPU;OVFP16;1;124.22;8.05;
20210701125225_tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;2021-07-01 12:52:25;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;[320, 256];tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;320x256;pedestrian;['1', 'sync', 'FP16'];IntelNUC_MYRIAD;OVFP16;1;25.63;39.01;
20210701125237_tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;2021-07-01 12:52:37;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;[320, 256];tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;320x256;pedestrian;['1', 'sync', 'UNSPECIFIED'];IntelNUC_CPU;OVFP32;1;183.98;5.44;
20210701125317_tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;2021-07-01 12:53:17;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;[320, 256];tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;320x256;pedestrian;['1', 'sync', 'UNSPECIFIED'];IntelNUC_GPU;OVFP32;1;97.69;10.24;
20210701125429_tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;2021-07-01 12:54:29;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;[320, 256];tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;320x256;pedestrian;['1', 'sync', 'FP16'];IntelNUC_MYRIAD;OVFP32;1;25.46;39.28;
