Index;Date;Model;Model_Short;Framework;Network;Resolution;Dataset;Custom_Parameters;Hardware;Hardware_Optimization;DetectionBoxes_Precision/mAP;DetectionBoxes_Precision/mAP@.50IOU;DetectionBoxes_Precision/mAP@.75IOU;DetectionBoxes_Precision/mAP (small);DetectionBoxes_Precision/mAP (medium);DetectionBoxes_Precision/mAP (large);DetectionBoxes_Recall/AR@1;DetectionBoxes_Recall/AR@10;DetectionBoxes_Recall/AR@100;DetectionBoxes_Recall/AR@100 (small);DetectionBoxes_Recall/AR@100 (medium);DetectionBoxes_Recall/AR@100 (large)
20210701124610_tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;2021-07-01 12:46:12;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;tf2oda;ssdmobilenetv2;[300, 300];pets;['D100'];IntelNUC_CPU;OVFP16;0.9325082508250826;1.0;0.9603960396039604;-1.0;0.9;0.9325082508250826;0.9416666666666668;0.9416666666666668;0.9416666666666668;-1.0;0.9;0.9416666666666668
20210701124650_tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;2021-07-01 12:47:19;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;tf2oda;ssdmobilenetv2;[300, 300];pets;['D100'];IntelNUC_GPU;OVFP16;0.944059405940594;1.0;0.9603960396039604;-1.0;0.9;0.944059405940594;0.95;0.95;0.95;-1.0;0.9;0.95
20210701124807_tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;2021-07-01 12:48:12;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;tf2oda;ssdmobilenetv2;[300, 300];pets;['D100'];IntelNUC_MYRIAD;OVFP16;0.9325082508250826;1.0;0.9603960396039604;-1.0;0.9;0.9325082508250826;0.9416666666666668;0.9416666666666668;0.9416666666666668;-1.0;0.9;0.9416666666666668
20210701124820_tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;2021-07-01 12:48:21;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;tf2oda;ssdmobilenetv2;[300, 300];pets;['D100'];IntelNUC_CPU;OVFP32;0.9325082508250826;1.0;0.9603960396039604;-1.0;0.9;0.9325082508250826;0.9416666666666668;0.9416666666666668;0.9416666666666668;-1.0;0.9;0.9416666666666668
20210701124904_tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;2021-07-01 12:49:33;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;tf2oda;ssdmobilenetv2;[300, 300];pets;['D100'];IntelNUC_GPU;OVFP32;0.9325082508250826;1.0;0.9603960396039604;-1.0;0.9;0.9325082508250826;0.9416666666666668;0.9416666666666668;0.9416666666666668;-1.0;0.9;0.9416666666666668
20210701125021_tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;2021-07-01 12:50:27;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;tf2oda;ssdmobilenetv2;[300, 300];pets;['D100'];IntelNUC_MYRIAD;OVFP32;0.9325082508250826;1.0;0.9603960396039604;-1.0;0.9;0.9325082508250826;0.9416666666666668;0.9416666666666668;0.9416666666666668;-1.0;0.9;0.9416666666666668
20210701125033_tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;2021-07-01 12:50:35;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;tf2oda;ssdmobilenetv2;[320, 256];pedestrian;[];IntelNUC_CPU;OVFP16;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0
20210701125112_tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;2021-07-01 12:51:42;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;tf2oda;ssdmobilenetv2;[320, 256];pedestrian;[];IntelNUC_GPU;OVFP16;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0
20210701125225_tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;2021-07-01 12:52:30;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;tf2oda;ssdmobilenetv2;[320, 256];pedestrian;[];IntelNUC_MYRIAD;OVFP16;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0
20210701125237_tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;2021-07-01 12:52:39;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;tf2oda;ssdmobilenetv2;[320, 256];pedestrian;[];IntelNUC_CPU;OVFP32;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0
20210701125317_tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;2021-07-01 12:53:46;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;tf2oda;ssdmobilenetv2;[320, 256];pedestrian;[];IntelNUC_GPU;OVFP32;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0
20210701125429_tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;2021-07-01 12:54:34;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;tf2oda;ssdmobilenetv2;[320, 256];pedestrian;[];IntelNUC_MYRIAD;OVFP32;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0
