Index;Date;Model;Model_Short;Framework;Network;Resolution;Dataset;Custom_Parameters;Hardware;Hardware_Optimization;Batch_Size;Throughput;Mean_Latency;Latencies
20210612143617_tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;2021-06-12 14:36:17;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;[300, 300];tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;300x300;pets;['1', 'sync', 'UNSPECIFIED', 'D100'];Inteli7dp3510_CPU;OVFP16;1;39.12;25.56;
20210612144034_tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;2021-06-12 14:40:34;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;[300, 300];tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;300x300;pets;['1', 'sync', 'UNSPECIFIED', 'D100'];Inteli7dp3510_GPU;OVFP16;1;30.67;32.61;
20210612144450_tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;2021-06-12 14:44:50;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;[300, 300];tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;300x300;pets;['1', 'sync', 'UNSPECIFIED', 'D100'];Inteli7dp3510_CPU;OVFP32;1;33.83;29.56;
20210612144951_tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;2021-06-12 14:49:51;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;[300, 300];tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP32;300x300;pets;['1', 'sync', 'UNSPECIFIED', 'D100'];Inteli7dp3510_GPU;OVFP32;1;24.06;41.57;
20210612145138_tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;2021-06-12 14:51:38;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;[320, 256];tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;320x256;pedestrian;['1', 'sync', 'UNSPECIFIED'];Inteli7dp3510_CPU;OVFP16;1;107.88;9.27;
20210612145323_tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;2021-06-12 14:53:23;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;[320, 256];tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP16;320x256;pedestrian;['1', 'sync', 'UNSPECIFIED'];Inteli7dp3510_GPU;OVFP16;1;82.87;12.07;
20210612145507_tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;2021-06-12 14:55:07;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;[320, 256];tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;320x256;pedestrian;['1', 'sync', 'UNSPECIFIED'];Inteli7dp3510_CPU;OVFP32;1;109.72;9.11;
20210612145653_tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;2021-06-12 14:56:53;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;[320, 256];tf2oda_ssdmobilenetv2_320x256_pedestrian_OVFP32;320x256;pedestrian;['1', 'sync', 'UNSPECIFIED'];Inteli7dp3510_GPU;OVFP32;1;68.20;14.66;
20210618152520_tf2oda_efficientdet_512x512_pedestrian_D0_LR08_OVFP32;2021-06-18 15:25:20;tf2oda_efficientdet_512x512_pedestrian_D0_LR08_OVFP32;tf2oda_efficientdet_512x512_pedestrian_D0_LR08_OVFP32;[512, 512];tf2oda_efficientdet_512x512_pedestrian_D0_LR08_OVFP32;512x512;pedestrian;['1', 'sync', 'UNSPECIFIED', 'D0', 'LR08'];Inteli7dp3510_CPU;OVFP32;1;9.99;100.10;
20210706230323_tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;2021-07-06 23:03:23;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;tf2oda;tf2oda_ssdmobilenetv2_300x300_pets_D100_OVFP16;[300, 300];pets;['1', 'sync', 'UNSPECIFIED', 'D100'];CPU;OVFP16;1;124.33;8.04;
